117.772760     31.881843
117.851820     31.781587
0.200    0.000    0.000      0
0.300    2.420    0.000      1
0.400    2.400    0.000      1
0.500    2.400    0.000      1
0.600    2.400    0.000      1
0.700    2.400    0.000      1
0.800    2.380    0.000      1
0.900    2.340    0.000      1
1.000    2.280    0.000      1
1.100    2.260    0.000      1
1.200    2.280    0.000      1
1.300    2.300    0.000      1
1.400    2.320    0.000      1
1.500    2.360    0.000      1
1.600    2.380    0.000      1
1.700    2.400    0.000      1
1.800    2.420    0.000      1
1.900    2.420    0.000      1
2.000    2.420    0.000      1
2.100    2.420    0.000      1
2.200    2.420    0.000      1
2.300    2.440    0.000      1
2.400    2.460    0.000      1
2.500    2.480    0.000      1
2.600    2.500    0.000      1
2.700    2.540    0.000      1
2.800    2.580    0.000      1
2.900    2.620    0.000      1
3.000    2.680    0.000      1
3.100    2.740    0.000      1
3.200    2.780    0.000      1
3.300    0.000    0.000      0
3.400    0.000    0.000      0
3.500    0.000    0.000      0
3.600    0.000    0.000      0
3.700    0.000    0.000      0
3.800    0.000    0.000      0
3.900    0.000    0.000      0
4.000    0.000    0.000      0
4.100    0.000    0.000      0
4.200    0.000    0.000      0
4.300    0.000    0.000      0
4.400    0.000    0.000      0
4.500    0.000    0.000      0
4.600    0.000    0.000      0
4.700    0.000    0.000      0
4.800    0.000    0.000      0
4.900    0.000    0.000      0
5.000    0.000    0.000      0
